,artistName,venueName,streamingEvent,title,locationText,watchLiveText,isPlus,callToActionText,rsvpCount,rsvpCountInt,startsAt,timezone,displayRule,locale,endsAt
0,Polaris,Columbiahalle,False,BEARTOOTH UK / EU 2024,"Berlin, Germany",Watch Live,False,Tickets & RSVP,32,32,2024-10-10T18:00:00,Europe/Berlin,datetime,en,
1,Beartooth,Columbiahalle,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,219,219,2024-10-10T18:00:00,Europe/Berlin,datetime,en,
2,LANDMVRKS,Columbia Theater,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,55,55,2024-10-10T18:00:00,Europe/Berlin,datetime,en,2024-10-10T23:30:00
3,Luna Morgenstern,West Germany,False,No Kiddin' Festival,"Berlin, Germany",Watch Live,False,Tickets & RSVP,0,0,2024-10-10T19:00:00,Europe/Berlin,datetime,en,
4,HAEVN,Admiralspalast - Theater,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,10,10,2024-10-10T19:00:00,Europe/Berlin,datetime,en,
5,Yunni,Urban Spree,False,ViceFest Berlin 2024,"Berlin, Germany",Watch Live,False,Tickets & RSVP,1,1,2024-10-10T19:00:00,Europe/Berlin,datetime,en,2024-10-10T23:30:00
6,Nino De Angelo,Kulturhaus Stadtgarten,False,,"Neuruppin, Germany",Watch Live,False,Tickets & RSVP,2,2,2024-10-10T19:00:00,Europe/Berlin,datetime,en,
7,Mitch Keller,Kulturhaus Stadtgarten,False,,"Neuruppin, Germany",Watch Live,False,Tickets & RSVP,0,0,2024-10-10T19:00:00,Europe/Berlin,datetime,en,
8,Kris Barras Band,Quasimodo,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,2,2,2024-10-10T19:00:00,Europe/Berlin,datetime,en,
9,FULL RED GRENADE,Schokoladen,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,0,0,2024-10-10T19:00:00,Europe/Berlin,datetime,en,2024-10-10T23:30:00
10,GUN - Official,Quasimodo,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,2,2,2024-10-10T19:00:00,Europe/Berlin,datetime,en,
11,GIGI MASIN,Zenner Biergarten und Weingarten,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,3,3,2024-10-10T19:00:00,Europe/Berlin,datetime,en,
12,Pond,Hole44,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,63,63,2024-10-10T19:00:00,Europe/Berlin,datetime,en,
13,marco shuttle,Zenner Biergarten und Weingarten,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,1,1,2024-10-10T19:00:00,Europe/Berlin,datetime,en,
14,Stoned Jesus,Frannz Club,False,,"Berlin, Germany",Watch Live,False,Tickets & RSVP,49,49,2024-10-10T19:30:00,Europe/Berlin,datetime,en,
